run,dimension,total,clean_accuracy,noisy_accuracy,absolute_degradation,clean_success_noisy_failure,clean_failure_noisy_success,both_correct,both_wrong
run_1,typos,2351,0.76095278604849,0.7579753296469588,0.002977456401531242,67,60,1722,502
run_1,cursing,2351,0.76095278604849,0.7443641003828159,0.016588685665674174,97,58,1692,504
run_1,irrelevant_context,2351,0.76095278604849,0.749042960442365,0.01190982560612508,84,56,1705,506
run_1,removed_spaces,2351,0.76095278604849,0.7528711186729051,0.008081667375584911,76,57,1713,505
run_1,argumentative_challenge,2351,0.76095278604849,0.7507443641003828,0.010208421948107227,76,52,1713,510
run_1,pasted_context_block,2351,0.76095278604849,0.741811994895789,0.019140791152701064,96,51,1693,511
run_1,telegraphic_request,2351,0.76095278604849,0.7464908549553382,0.014461931093151859,98,64,1691,498
repeat_2,typos,2351,0.7622288387920034,0.7575499787324542,0.004678860059549206,67,56,1725,503
repeat_2,cursing,2351,0.7622288387920034,0.7358570820927265,0.026371756699276938,112,50,1680,509
repeat_2,irrelevant_context,2351,0.7622288387920034,0.7498936622713739,0.012335176520629543,83,54,1709,505
repeat_2,removed_spaces,2351,0.7622288387920034,0.7575499787324542,0.004678860059549206,65,54,1727,505
repeat_2,argumentative_challenge,2351,0.7622288387920034,0.749042960442365,0.013185878349638469,87,56,1705,503
repeat_2,pasted_context_block,2351,0.7622288387920034,0.7392598894087622,0.022968949383241233,111,57,1681,502
repeat_2,telegraphic_request,2351,0.7622288387920034,0.748192258613356,0.014036580178647395,96,63,1696,496
repeat_3,typos,2351,0.7656316461080391,0.7566992769034453,0.008932369204593837,67,46,1733,505
repeat_3,cursing,2351,0.7656316461080391,0.7435133985538069,0.022118247554232195,101,49,1699,502
repeat_3,irrelevant_context,2351,0.7656316461080391,0.7566992769034453,0.008932369204593837,73,52,1727,499
repeat_3,removed_spaces,2351,0.7656316461080391,0.7528711186729051,0.012760527435134006,72,42,1728,509
repeat_3,argumentative_challenge,2351,0.7656316461080391,0.7469162058698426,0.01871544023819649,98,54,1702,497
repeat_3,pasted_context_block,2351,0.7656316461080391,0.7333049766056997,0.03232666950233942,113,37,1687,514
repeat_3,telegraphic_request,2351,0.7656316461080391,0.7456401531263293,0.01999149298170988,93,46,1707,505
